Date,Unit,Amount Of Admissions
2020-08-04,4,18
2020-08-05,4,17
2020-08-06,4,16
2020-08-07,4,11
2020-08-08,4,9
2020-08-09,4,15
2020-08-10,4,13
2020-08-11,4,10
2020-08-12,4,10
2020-08-13,4,14
2020-08-14,4,11
2020-08-15,4,10
2020-08-16,4,16
2020-08-17,4,17
2020-08-18,4,14
2020-08-19,4,12
2020-08-20,4,12
2020-08-21,4,13
2020-08-22,4,10
2020-08-23,4,13
2020-08-24,4,14
2020-08-25,4,11
2020-08-26,4,11
2020-08-27,4,10
2020-08-28,4,9
2020-08-29,4,7
2020-08-30,4,12
2020-08-31,4,10
2020-09-01,4,14
2020-09-02,4,10
2020-09-03,4,8
2020-09-04,4,11
2020-09-05,4,9
2020-09-06,4,13
2020-09-07,4,10
2020-09-08,4,13
2020-09-09,4,17
2020-09-10,4,14
2020-09-11,4,6
2020-09-12,4,10
2020-09-13,4,11
2020-09-14,4,12
2020-09-15,4,10
2020-09-16,4,12
2020-09-17,4,12
2020-09-18,4,8
2020-09-19,4,6
2020-09-20,4,8
2020-09-21,4,14
2020-09-22,4,13
2020-09-23,4,10
2020-09-24,4,12
2020-09-25,4,9
2020-09-26,4,6
2020-09-27,4,15
2020-09-28,4,9
2020-09-29,4,14
2020-09-30,4,15
2020-10-01,4,15
2020-10-02,4,10
2020-10-03,4,11
2020-10-04,4,9
2020-10-05,4,10
2020-10-06,4,6
2020-10-07,4,8
2020-10-08,4,10
2020-10-09,4,12
2020-10-10,4,10
2020-10-11,4,9
2020-10-12,4,13
2020-10-13,4,10
2020-10-14,4,12
2020-10-15,4,11
2020-10-16,4,8
2020-10-17,4,11
2020-10-18,4,10
2020-10-19,4,12
2020-10-20,4,9
2020-10-21,4,9
2020-10-22,4,8
2020-10-23,4,4
2020-10-24,4,7
2020-10-25,4,9
2020-10-26,4,9
2020-10-27,4,13
2020-10-28,4,15
2020-10-29,4,16
2020-10-30,4,9
2020-10-31,4,9
2020-11-01,4,15
2020-11-02,4,9
2020-11-03,4,11
2020-11-04,4,14
2020-11-05,4,7
2020-11-06,4,7
2020-11-07,4,7
2020-11-08,4,12
2020-11-09,4,9
2020-11-10,4,13
2020-11-11,4,13
2020-11-12,4,10
2020-11-13,4,13
2020-11-14,4,7
2020-11-15,4,10
2020-11-16,4,11
2020-11-17,4,14
2020-11-18,4,15
2020-11-19,4,12
2020-11-20,4,9
2020-11-21,4,8
2020-11-22,4,16
2020-11-23,4,12
2020-11-24,4,11
2020-11-25,4,10
2020-11-26,4,10
2020-11-27,4,10
2020-11-28,4,7
2020-11-29,4,11
2020-11-30,4,15
2020-12-01,4,14
2020-12-02,4,13
2020-12-03,4,9
2020-12-04,4,8
2020-12-05,4,4
2020-12-06,4,8
2020-12-07,4,13
2020-12-08,4,11
2020-12-09,4,13
2020-12-10,4,15
2020-12-11,4,10
2020-12-12,4,14
2020-12-13,4,11
2020-12-14,4,8
2020-12-15,4,16
2020-12-16,4,13
2020-12-17,4,9
2020-12-18,4,7
2020-12-19,4,9
2020-12-20,4,14
2020-12-21,4,11
2020-12-22,4,12
2020-12-23,4,12
2020-12-24,4,11
2020-12-25,4,6
2020-12-26,4,6
2020-12-27,4,17
2020-12-28,4,10
2020-12-29,4,14
2020-12-30,4,16
2020-12-31,4,11
2021-01-01,4,7
2021-01-02,4,11
2021-01-03,4,18
2021-01-04,4,16
2021-01-05,4,16
2021-01-06,4,18
2021-01-07,4,11
2021-01-08,4,10
2021-01-09,4,11
2021-01-10,4,15
2021-01-11,4,19
2021-01-12,4,12
2021-01-13,4,16
2021-01-14,4,11
2021-01-15,4,12
2021-01-16,4,10
2021-01-17,4,14
2021-01-18,4,10
2021-01-19,4,13
2021-01-20,4,11
2021-01-21,4,12
2021-01-22,4,9
2021-01-23,4,10
2021-01-24,4,15
2021-01-25,4,9
2021-01-26,4,13
2021-01-27,4,11
2021-01-28,4,13
2021-01-29,4,8
2021-01-30,4,9
2021-01-31,4,17
2021-02-01,4,16
2021-02-02,4,15
2021-02-03,4,9
2021-02-04,4,14
2021-02-05,4,9
2021-02-06,4,14
2021-02-07,4,18
2021-02-08,4,10
2021-02-09,4,15
2021-02-10,4,11
2021-02-11,4,13
2021-02-12,4,5
2021-02-13,4,10
2021-02-14,4,12
2021-02-15,4,21
2021-02-16,4,17
2021-02-17,4,11
2021-02-18,4,12
2021-02-19,4,9
2021-02-20,4,8
2021-02-21,4,18
2021-02-22,4,10
2021-02-23,4,9
2021-02-24,4,10
2021-02-25,4,14
2021-02-26,4,15
2021-02-27,4,11
2021-02-28,4,18
2021-03-01,4,9
2021-03-02,4,13
2021-03-03,4,12
2021-03-04,4,12
2021-03-05,4,12
2021-03-06,4,12
2021-03-07,4,19
2021-03-08,4,15
2021-03-09,4,14
2021-03-10,4,13
2021-03-11,4,19
2021-03-12,4,7
2021-03-13,4,12
2021-03-14,4,12
2021-03-15,4,16
2021-03-16,4,8
2021-03-17,4,20
2021-03-18,4,12
2021-03-19,4,10
2021-03-20,4,7
2021-03-21,4,19
2021-03-22,4,10
2021-03-23,4,15
2021-03-24,4,12
2021-03-25,4,12
2021-03-26,4,7
2021-03-27,4,7
2021-03-28,4,12
2021-03-29,4,9
2021-03-30,4,8
2021-03-31,4,11
2021-04-01,4,11
2021-04-02,4,10
2021-04-03,4,11
2021-04-04,4,12
2021-04-05,4,13
2021-04-06,4,18
2021-04-07,4,11
2021-04-08,4,11
2021-04-09,4,14
2021-04-10,4,8
2021-04-11,4,13
2021-04-12,4,7
2021-04-13,4,10
2021-04-14,4,10
2021-04-15,4,5
2021-04-16,4,6
2021-04-17,4,7
2021-04-18,4,14
2021-04-19,4,15
2021-04-20,4,22
2021-04-21,4,13
2021-04-22,4,7
2021-04-23,4,5
2021-04-24,4,8
2021-04-25,4,16
2021-04-26,4,10
2021-04-27,4,10
2021-04-28,4,9
2021-04-29,4,8
2021-04-30,4,8
2021-05-01,4,7
2021-05-02,4,16
2021-05-03,4,8
2021-05-04,4,15
2021-05-05,4,9
2021-05-06,4,11
2021-05-07,4,12
2021-05-08,4,11
2021-05-09,4,11
2021-05-10,4,11
2021-05-11,4,10
2021-05-12,4,11
2021-05-13,4,6
2021-05-14,4,8
2021-05-15,4,6
2021-05-16,4,9
2021-05-17,4,7
2021-05-18,4,13
2021-05-19,4,12
2021-05-20,4,12
2021-05-21,4,11
2021-05-22,4,9
2021-05-23,4,21
2021-05-24,4,17
2021-05-25,4,15
2021-05-26,4,11
2021-05-27,4,11
2021-05-28,4,9
2021-05-29,4,6
2021-05-30,4,12
2021-05-31,4,10
2021-06-01,4,13
2021-06-02,4,6
2021-06-03,4,14
2021-06-04,4,8
2021-06-05,4,11
2021-06-06,4,11
2021-06-07,4,11
2021-06-08,4,11
2021-06-09,4,13
2021-06-10,4,11
2021-06-11,4,10
2021-06-12,4,10
2021-06-13,4,16
2021-06-14,4,9
2021-06-15,4,10
2021-06-16,4,12
2021-06-17,4,13
2021-06-18,4,7
2021-06-19,4,9
2021-06-20,4,13
2021-06-21,4,15
2021-06-22,4,19
2021-06-23,4,14
2021-06-24,4,10
2021-06-25,4,6
2021-06-26,4,7
2021-06-27,4,17
2021-06-28,4,15
2021-06-29,4,10
2021-06-30,4,10
2021-07-01,4,13
2021-07-02,4,9
2021-07-03,4,10
2021-07-04,4,18
2021-07-05,4,12
2021-07-06,4,12
2021-07-07,4,13
2021-07-08,4,14
2021-07-09,4,9
2021-07-10,4,9
2021-07-11,4,15
2021-07-12,4,12
2021-07-13,4,13
2021-07-14,4,20
2021-07-15,4,11
2021-07-16,4,11
2021-07-17,4,12
2021-07-18,4,13
2021-07-19,4,8
2021-07-20,4,14
2021-07-21,4,16
2021-07-22,4,12
2021-07-23,4,10
2021-07-24,4,12
2021-07-25,4,16
2021-07-26,4,14
2021-07-27,4,16
2021-07-28,4,20
2021-07-29,4,13
2021-07-30,4,11
2021-07-31,4,7
2021-08-01,4,20
2021-08-02,4,18
2021-08-03,4,16
2021-08-04,4,11
2021-08-05,4,10
2021-08-06,4,9
2021-08-07,4,11
2021-08-08,4,13
2021-08-09,4,13
2021-08-10,4,11
2021-08-11,4,12
2021-08-12,4,10
2021-08-13,4,9
2021-08-14,4,10
2021-08-15,4,18
2021-08-16,4,15
2021-08-17,4,11
2021-08-18,4,12
2021-08-19,4,7
2021-08-20,4,11
2021-08-21,4,9
2021-08-22,4,13
2021-08-23,4,17
2021-08-24,4,13
2021-08-25,4,12
2021-08-26,4,13
2021-08-27,4,16
2021-08-28,4,8
2021-08-29,4,16
2021-08-30,4,13
2021-08-31,4,16
2021-09-01,4,12
2021-09-02,4,13
2021-09-03,4,11
2021-09-04,4,9
2021-09-05,4,17
2021-09-06,4,8
2021-09-07,4,8
2021-09-08,4,11
2021-09-09,4,14
2021-09-10,4,13
2021-09-11,4,11
2021-09-12,4,22
2021-09-13,4,17
2021-09-14,4,11
2021-09-15,4,12
2021-09-16,4,7
2021-09-17,4,14
2021-09-18,4,11
2021-09-19,4,13
2021-09-20,4,19
2021-09-21,4,12
2021-09-22,4,16
2021-09-23,4,14
2021-09-24,4,8
2021-09-25,4,5
2021-09-26,4,10
2021-09-27,4,9
2021-09-28,4,10
2021-09-29,4,16
2021-09-30,4,10
2021-10-01,4,8
2021-10-02,4,9
2021-10-03,4,12
2021-10-04,4,9
2021-10-05,4,12
2021-10-06,4,15
2021-10-07,4,11
2021-10-08,4,12
2021-10-09,4,10
2021-10-10,4,20
2021-10-11,4,14
2021-10-12,4,18
2021-10-13,4,17
2021-10-14,4,17
2021-10-15,4,10
2021-10-16,4,12
2021-10-17,4,12
2021-10-18,4,17
2021-10-19,4,17
2021-10-20,4,15
2021-10-21,4,16
2021-10-22,4,9
2021-10-23,4,12
2021-10-24,4,19
2021-10-25,4,13
2021-10-26,4,15
2021-10-27,4,13
2021-10-28,4,10
2021-10-29,4,8
2021-10-30,4,9
2021-10-31,4,13
2021-11-01,4,16
2021-11-02,4,11
2021-11-03,4,12
2021-11-04,4,9
2021-11-05,4,7
2021-11-06,4,7
2021-11-07,4,17
2021-11-08,4,13
2021-11-09,4,10
2021-11-10,4,14
2021-11-11,4,6
2021-11-12,4,10
2021-11-13,4,8
2021-11-14,4,16
2021-11-15,4,10
2021-11-16,4,10
2021-11-17,4,11
2021-11-18,4,13
2021-11-19,4,5
2021-11-20,4,7
2021-11-21,4,13
2021-11-22,4,13
2021-11-23,4,11
2021-11-24,4,14
2021-11-25,4,12
2021-11-26,4,6
2021-11-27,4,7
2021-11-28,4,13
2021-11-29,4,12
2021-11-30,4,13
2021-12-01,4,8
2021-12-02,4,10
2021-12-03,4,8
2021-12-04,4,9
2021-12-05,4,12
2021-12-06,4,16
2021-12-07,4,11
2021-12-08,4,10
2021-12-09,4,7
2021-12-10,4,7
2021-12-11,4,10
2021-12-12,4,11
2021-12-13,4,13
2021-12-14,4,14
2021-12-15,4,10
2021-12-16,4,12
2021-12-17,4,6
2021-12-18,4,8
2021-12-19,4,13
2021-12-20,4,12
2021-12-21,4,11
2021-12-22,4,7
2021-12-23,4,12
2021-12-24,4,10
2021-12-25,4,10
2021-12-26,4,17
2021-12-27,4,8
2021-12-28,4,12
2021-12-29,4,9
2021-12-30,4,11
2021-12-31,4,5
2022-01-01,4,11
2022-01-02,4,16
2022-01-03,4,13
2022-01-04,4,15
2022-01-05,4,17
2022-01-06,4,15
2022-01-07,4,9
2022-01-08,4,15
2022-01-09,4,17
2022-01-10,4,13
2022-01-11,4,13
2022-01-12,4,14
2022-01-13,4,15
2022-01-14,4,10
2022-01-15,4,9
2022-01-16,4,13
2022-01-17,4,14
2022-01-18,4,10
2022-01-19,4,13
2022-01-20,4,10
2022-01-21,4,11
2022-01-22,4,7
2022-01-23,4,17
2022-01-24,4,16
2022-01-25,4,18
2022-01-26,4,14
2022-01-27,4,12
2022-01-28,4,16
2022-01-29,4,11
2022-01-30,4,21
2022-01-31,4,16
2022-02-01,4,23
2022-02-02,4,16
2022-02-03,4,14
2022-02-04,4,16
2022-02-05,4,14
2022-02-06,4,20
2022-02-07,4,15
2022-02-08,4,19
2022-02-09,4,15
2022-02-10,4,18
2022-02-11,4,9
2022-02-12,4,10
2022-02-13,4,13
2022-02-14,4,19
2022-02-15,4,21
2022-02-16,4,11
2022-02-17,4,15
2022-02-18,4,11
2022-02-19,4,10
2022-02-20,4,17
2022-02-21,4,17
2022-02-22,4,12
2022-02-23,4,13
2022-02-24,4,11
2022-02-25,4,9
2022-02-26,4,7
2022-02-27,4,17
2022-02-28,4,17
2022-03-01,4,18
2022-03-02,4,16
2022-03-03,4,12
2022-03-04,4,8
2022-03-05,4,9
2022-03-06,4,13
2022-03-07,4,21
2022-03-08,4,17
2022-03-09,4,13
2022-03-10,4,13
2022-03-11,4,10
2022-03-12,4,8
2022-03-13,4,11
2022-03-14,4,13
2022-03-15,4,13
2022-03-16,4,13
2022-03-17,4,9
2022-03-18,4,8
2022-03-19,4,6
2022-03-20,4,14
2022-03-21,4,15
2022-03-22,4,12
2022-03-23,4,12
2022-03-24,4,12
2022-03-25,4,12
2022-03-26,4,11
2022-03-27,4,13
2022-03-28,4,16
2022-03-29,4,15
2022-03-30,4,20
2022-03-31,4,13
2022-04-01,4,9
2022-04-02,4,6
2022-04-03,4,15
2022-04-04,4,17
2022-04-05,4,13
2022-04-06,4,15
2022-04-07,4,12
2022-04-08,4,9
2022-04-09,4,9
2022-04-10,4,13
2022-04-11,4,11
2022-04-12,4,13
2022-04-13,4,10
2022-04-14,4,11
2022-04-15,4,4
2022-04-16,4,6
2022-04-17,4,13
2022-04-18,4,11
2022-04-19,4,11
2022-04-20,4,11
2022-04-21,4,14
2022-04-22,4,7
2022-04-23,4,12
2022-04-24,4,15
2022-04-25,4,16
2022-04-26,4,14
2022-04-27,4,12
2022-04-28,4,15
2022-04-29,4,9
2022-04-30,4,9
2022-05-01,4,12
2022-05-02,4,17
2022-05-03,4,18
2022-05-04,4,13
2022-05-05,4,9
2022-05-06,4,14
2022-05-07,4,14
2022-05-08,4,21
2022-05-09,4,9
2022-05-10,4,10
2022-05-11,4,17
2022-05-12,4,8
2022-05-13,4,8
2022-05-14,4,8
2022-05-15,4,16
2022-05-16,4,15
2022-05-17,4,11
2022-05-18,4,11
2022-05-19,4,12
2022-05-20,4,10
2022-05-21,4,12
2022-05-22,4,12
2022-05-23,4,14
2022-05-24,4,13
2022-05-25,4,14
2022-05-26,4,9
2022-05-27,4,7
2022-05-28,4,4
2022-05-29,4,12
2022-05-30,4,13
2022-05-31,4,13
2022-06-01,4,14
2022-06-02,4,17
2022-06-03,4,8
2022-06-04,4,6
2022-06-05,4,12
2022-06-06,4,12
2022-06-07,4,10
2022-06-08,4,9
2022-06-09,4,16
2022-06-10,4,10
2022-06-11,4,9
2022-06-12,4,15
2022-06-13,4,15
2022-06-14,4,13
2022-06-15,4,15
2022-06-16,4,11
2022-06-17,4,8
2022-06-18,4,11
2022-06-19,4,17
2022-06-20,4,16
2022-06-21,4,16
2022-06-22,4,15
2022-06-23,4,8
2022-06-24,4,12
2022-06-25,4,6
2022-06-26,4,15
2022-06-27,4,15
2022-06-28,4,18
2022-06-29,4,16
2022-06-30,4,14
2022-07-01,4,12
2022-07-02,4,9
2022-07-03,4,18
2022-07-04,4,15
2022-07-05,4,15
2022-07-06,4,16
2022-07-07,4,17
2022-07-08,4,7
2022-07-09,4,8
2022-07-10,4,13
2022-07-11,4,13
2022-07-12,4,14
2022-07-13,4,14
2022-07-14,4,14
2022-07-15,4,9
2022-07-16,4,8
2022-07-17,4,14
2022-07-18,4,13
2022-07-19,4,16
2022-07-20,4,15
2022-07-21,4,17
2022-07-22,4,9
2022-07-23,4,10
2022-07-24,4,20
2022-07-25,4,12
2022-07-26,4,14
2022-07-27,4,12
2022-07-28,4,11
2022-07-29,4,14
2022-07-30,4,9
2022-07-31,4,13
2022-08-01,4,13
2022-08-02,4,13
2022-08-03,4,9
2022-08-04,4,13
2022-08-05,4,11
2022-08-06,4,10
2022-08-07,4,12
2022-08-08,4,14
2022-08-09,4,13
2022-08-10,4,13
2022-08-11,4,12
2022-08-12,4,15
2022-08-13,4,5
2022-08-14,4,13
2022-08-15,4,12
2022-08-16,4,15
2022-08-17,4,13
2022-08-18,4,7
2022-08-19,4,11
2022-08-20,4,7
2022-08-21,4,11
2022-08-22,4,15
2022-08-23,4,10
2022-08-24,4,10
2022-08-25,4,11
2022-08-26,4,7
2022-08-27,4,9
2022-08-28,4,8
2022-08-29,4,11
2022-08-30,4,14
2022-08-31,4,11
2022-09-01,4,13
2022-09-02,4,9
2022-09-03,4,7
2022-09-04,4,11
2022-09-05,4,12
2022-09-06,4,11
2022-09-07,4,9
2022-09-08,4,10
2022-09-09,4,9
2022-09-10,4,7
2022-09-11,4,15
2022-09-12,4,13
2022-09-13,4,10
2022-09-14,4,8
2022-09-15,4,11
2022-09-16,4,6
2022-09-17,4,9
2022-09-18,4,15
2022-09-19,4,13
2022-09-20,4,11
2022-09-21,4,10
2022-09-22,4,11
2022-09-23,4,10
2022-09-24,4,7
2022-09-25,4,7
2022-09-26,4,5
2022-09-27,4,9
2022-09-28,4,11
2022-09-29,4,14
2022-09-30,4,12
2022-10-01,4,10
2022-10-02,4,8
2022-10-03,4,13
2022-10-04,4,7
2022-10-05,4,9
2022-10-06,4,12
2022-10-07,4,9
2022-10-08,4,9
2022-10-09,4,8
2022-10-10,4,6
2022-10-11,4,12
2022-10-12,4,12
2022-10-13,4,9
2022-10-14,4,5
2022-10-15,4,11
2022-10-16,4,11
2022-10-17,4,8
2022-10-18,4,16
2022-10-19,4,12
2022-10-20,4,7
2022-10-21,4,10
2022-10-22,4,9
2022-10-23,4,13
2022-10-24,4,11
2022-10-25,4,15
2022-10-26,4,9
2022-10-27,4,17
2022-10-28,4,8
2022-10-29,4,8
2022-10-30,4,13
2022-10-31,4,8
2022-11-01,4,6
2022-11-02,4,9
2022-11-03,4,13
2022-11-04,4,8
2022-11-05,4,7
2022-11-06,4,9
2022-11-07,4,9
2022-11-08,4,14
2022-11-09,4,11
2022-11-10,4,9
2022-11-11,4,10
2022-11-12,4,6
2022-11-13,4,13
2022-11-14,4,12
2022-11-15,4,11
2022-11-16,4,10
2022-11-17,4,7
2022-11-18,4,9
2022-11-19,4,9
2022-11-20,4,12
2022-11-21,4,14
2022-11-22,4,12
2022-11-23,4,11
2022-11-24,4,11
2022-11-25,4,9
2022-11-26,4,8
2022-11-27,4,14
2022-11-28,4,12
2022-11-29,4,9
2022-11-30,4,10
2022-12-01,4,9
2022-12-02,4,8
2022-12-03,4,12
2022-12-04,4,17
2022-12-05,4,11
2022-12-06,4,9
2022-12-07,4,15
2022-12-08,4,12
2022-12-09,4,10
2022-12-10,4,8
2022-12-11,4,14
2022-12-12,4,13
2022-12-13,4,13
2022-12-14,4,11
2022-12-15,4,15
2022-12-16,4,9
2022-12-17,4,7
2022-12-18,4,14
2022-12-19,4,11
2022-12-20,4,9
2022-12-21,4,15
2022-12-22,4,11
2022-12-23,4,11
2022-12-24,4,10
2022-12-25,4,10
2022-12-26,4,12
2022-12-27,4,12
2022-12-28,4,10
2022-12-29,4,9
2022-12-30,4,12
2022-12-31,4,8
2023-01-01,4,15
2023-01-02,4,13
2023-01-03,4,12
2023-01-04,4,13
2023-01-05,4,10
2023-01-06,4,13
2023-01-07,4,10
2023-01-08,4,13
2023-01-09,4,13
2023-01-10,4,12
2023-01-11,4,11
2023-01-12,4,12
2023-01-13,4,6
2023-01-14,4,10
2023-01-15,4,13
2023-01-16,4,10
2023-01-17,4,15
2023-01-18,4,12
2023-01-19,4,15
2023-01-20,4,11
2023-01-21,4,11
2023-01-22,4,13
2023-01-23,4,12
2023-01-24,4,13
2023-01-25,4,15
2023-01-26,4,12
2023-01-27,4,10
2023-01-28,4,11
2023-01-29,4,18
2023-01-30,4,17
2023-01-31,4,12
2023-02-01,4,15
2023-02-02,4,11
2023-02-03,4,11
2023-02-04,4,6
2023-02-05,4,12
2023-02-06,4,13
2023-02-07,4,10
2023-02-08,4,11
2023-02-09,4,10
2023-02-10,4,12
2023-02-11,4,9
2023-02-12,4,14
2023-02-13,4,16
2023-02-14,4,12
2023-02-15,4,13
2023-02-16,4,8
2023-02-17,4,6
2023-02-18,4,8
2023-02-19,4,12
2023-02-20,4,12
2023-02-21,4,10
2023-02-22,4,18
2023-02-23,4,9
2023-02-24,4,12
2023-02-25,4,6
2023-02-26,4,13
2023-02-27,4,14
2023-02-28,4,12
2023-03-01,4,13
2023-03-02,4,13
2023-03-03,4,9
2023-03-04,4,11
2023-03-05,4,13
2023-03-06,4,13
2023-03-07,4,11
2023-03-08,4,9
2023-03-09,4,14
2023-03-10,4,10
2023-03-11,4,10
2023-03-12,4,9
2023-03-13,4,12
2023-03-14,4,11
2023-03-15,4,11
2023-03-16,4,10
2023-03-17,4,10
2023-03-18,4,6
2023-03-19,4,9
2023-03-20,4,12
2023-03-21,4,14
2023-03-22,4,12
2023-03-23,4,13
2023-03-24,4,10
2023-03-25,4,9
2023-03-26,4,14
2023-03-27,4,13
2023-03-28,4,10
2023-03-29,4,11
2023-03-30,4,14
2023-03-31,4,7
2023-04-01,4,7
2023-04-02,4,12
2023-04-03,4,17
2023-04-04,4,13
2023-04-05,4,9
2023-04-06,4,7
2023-04-07,4,12
2023-04-08,4,9
2023-04-09,4,15
2023-04-10,4,11
2023-04-11,4,12
2023-04-12,4,9
2023-04-13,4,10
2023-04-14,4,9
2023-04-15,4,9
2023-04-16,4,12
2023-04-17,4,12
2023-04-18,4,14
2023-04-19,4,18
2023-04-20,4,10
2023-04-21,4,9
2023-04-22,4,10
2023-04-23,4,13
2023-04-24,4,9
2023-04-25,4,10
2023-04-26,4,10
2023-04-27,4,9
2023-04-28,4,10
2023-04-29,4,7
2023-04-30,4,15
2023-05-01,4,16
2023-05-02,4,15
2023-05-03,4,11
2023-05-04,4,7
2023-05-05,4,12
2023-05-06,4,7
2023-05-07,4,14
2023-05-08,4,12
2023-05-09,4,15
2023-05-10,4,8
2023-05-11,4,20
2023-05-12,4,8
2023-05-13,4,9
2023-05-14,4,9
2023-05-15,4,11
2023-05-16,4,13
2023-05-17,4,6
2023-05-18,4,11
2023-05-19,4,8
2023-05-20,4,8
2023-05-21,4,13
2023-05-22,4,19
2023-05-23,4,15
2023-05-24,4,13
2023-05-25,4,7
2023-05-26,4,8
2023-05-27,4,6
2023-05-28,4,12
2023-05-29,4,11
2023-05-30,4,15
2023-05-31,4,14
2023-06-01,4,12
2023-06-02,4,10
2023-06-03,4,7
2023-06-04,4,13
2023-06-05,4,12
2023-06-06,4,13
2023-06-07,4,13
2023-06-08,4,16
2023-06-09,4,8
2023-06-10,4,6
2023-06-11,4,11
2023-06-12,4,12
2023-06-13,4,9
2023-06-14,4,14
2023-06-15,4,12
2023-06-16,4,12
2023-06-17,4,5
2023-06-18,4,13
2023-06-19,4,12
2023-06-20,4,10
2023-06-21,4,10
2023-06-22,4,12
