Date,Unit,Amount Of Patients,Occupation Rate
2020-01-15 07:00:00,1,41,1.025
2020-01-15 07:00:00,3,36,0.9
2020-01-16 07:00:00,4,33,0.825
2020-01-16 07:00:00,2,37,0.925
2020-01-16 07:00:00,5,44,1.1
2020-01-16 07:00:00,1,37,0.925
2020-01-16 07:00:00,3,39,0.975
2020-01-17 07:00:00,4,30,0.75
2020-01-17 07:00:00,2,34,0.85
2020-01-17 07:00:00,5,41,1.025
2020-01-17 07:00:00,1,39,0.975
2020-01-17 07:00:00,3,39,0.975
2020-01-18 07:00:00,4,33,0.825
2020-01-18 07:00:00,2,34,0.85
2020-01-18 07:00:00,5,46,1.15
2020-01-18 07:00:00,1,40,1.0
2020-01-18 07:00:00,3,35,0.875
2020-01-19 07:00:00,4,43,1.075
2020-01-19 07:00:00,2,44,1.1
2020-01-19 07:00:00,5,53,1.325
2020-01-19 07:00:00,1,44,1.1
2020-01-19 07:00:00,3,38,0.95
2020-01-20 07:00:00,4,45,1.125
2020-01-20 07:00:00,2,44,1.1
2020-01-20 07:00:00,5,43,1.075
2020-01-20 07:00:00,1,42,1.05
2020-01-20 07:00:00,3,40,1.0
2020-01-21 07:00:00,4,34,0.85
2020-01-21 07:00:00,2,41,1.025
2020-01-21 07:00:00,5,43,1.075
2020-01-21 07:00:00,1,34,0.85
2020-01-21 07:00:00,3,37,0.925
2020-01-22 07:00:00,4,31,0.775
2020-01-22 07:00:00,2,36,0.9
2020-01-22 07:00:00,5,34,0.85
2020-01-22 07:00:00,1,31,0.775
2020-01-22 07:00:00,3,35,0.875
2020-01-23 07:00:00,4,31,0.775
2020-01-23 07:00:00,2,36,0.9
2020-01-23 07:00:00,5,35,0.875
2020-01-23 07:00:00,1,39,0.975
2020-01-23 07:00:00,3,40,1.0
2020-01-24 07:00:00,4,36,0.9
2020-01-24 07:00:00,2,34,0.85
2020-01-24 07:00:00,5,31,0.775
2020-01-24 07:00:00,1,40,1.0
2020-01-24 07:00:00,3,41,1.025
2020-01-25 07:00:00,4,33,0.825
2020-01-25 07:00:00,2,34,0.85
2020-01-25 07:00:00,5,32,0.8
2020-01-25 07:00:00,1,36,0.9
2020-01-25 07:00:00,3,40,1.0
2020-01-26 07:00:00,4,32,0.8
2020-01-26 07:00:00,2,41,1.025
2020-01-26 07:00:00,5,40,1.0
2020-01-26 07:00:00,1,34,0.85
2020-01-26 07:00:00,3,39,0.975
2020-01-27 07:00:00,4,34,0.85
2020-01-27 07:00:00,2,39,0.975
2020-01-27 07:00:00,5,41,1.025
2020-01-27 07:00:00,1,34,0.85
2020-01-27 07:00:00,3,40,1.0
2020-01-28 07:00:00,4,35,0.875
2020-01-28 07:00:00,2,38,0.95
2020-01-28 07:00:00,5,47,1.175
2020-01-28 07:00:00,1,37,0.925
2020-01-28 07:00:00,3,39,0.975
2020-01-29 07:00:00,4,37,0.925
2020-01-29 07:00:00,2,35,0.875
2020-01-29 07:00:00,5,43,1.075
2020-01-29 07:00:00,1,34,0.85
2020-01-29 07:00:00,3,38,0.95
2020-01-30 07:00:00,4,31,0.775
2020-01-30 07:00:00,2,34,0.85
2020-01-30 07:00:00,5,38,0.95
2020-01-30 07:00:00,1,34,0.85
2020-01-30 07:00:00,3,37,0.925
2020-01-31 07:00:00,4,32,0.8
2020-01-31 07:00:00,2,34,0.85
2020-01-31 07:00:00,5,33,0.825
2020-01-31 07:00:00,1,37,0.925
2020-01-31 07:00:00,3,38,0.95
2020-02-01 07:00:00,4,27,0.675
2020-02-01 07:00:00,2,32,0.8
2020-02-01 07:00:00,5,31,0.775
2020-02-01 07:00:00,1,32,0.8
2020-02-01 07:00:00,3,36,0.9
2020-02-02 07:00:00,4,32,0.8
2020-02-02 07:00:00,2,35,0.875
2020-02-02 07:00:00,5,40,1.0
2020-02-02 07:00:00,1,34,0.85
2020-02-02 07:00:00,3,40,1.0
2020-02-03 07:00:00,4,28,0.7
2020-02-03 07:00:00,2,39,0.975
2020-02-03 07:00:00,5,41,1.025
2020-02-03 07:00:00,1,37,0.925
2020-02-03 07:00:00,3,40,1.0
2020-02-04 07:00:00,4,29,0.725
2020-02-04 07:00:00,2,37,0.925
2020-02-04 07:00:00,5,41,1.025
2020-02-04 07:00:00,1,40,1.0
2020-02-04 07:00:00,3,40,1.0
2020-02-05 07:00:00,4,30,0.75
2020-02-05 07:00:00,2,28,0.7
2020-02-05 07:00:00,5,37,0.925
2020-02-05 07:00:00,1,32,0.8
2020-02-05 07:00:00,3,36,0.9
2020-02-06 07:00:00,4,30,0.75
2020-02-06 07:00:00,2,32,0.8
2020-02-06 07:00:00,5,31,0.775
2020-02-06 07:00:00,1,28,0.7
2020-02-06 07:00:00,3,38,0.95
2020-02-07 07:00:00,4,32,0.8
2020-02-07 07:00:00,2,29,0.725
2020-02-07 07:00:00,5,36,0.9
2020-02-07 07:00:00,1,27,0.675
2020-02-07 07:00:00,3,37,0.925
2020-02-08 07:00:00,4,30,0.75
2020-02-08 07:00:00,2,30,0.75
2020-02-08 07:00:00,5,37,0.925
2020-02-08 07:00:00,1,30,0.75
2020-02-08 07:00:00,3,38,0.95
2020-02-09 07:00:00,4,39,0.975
2020-02-09 07:00:00,2,41,1.025
2020-02-09 07:00:00,5,45,1.125
2020-02-09 07:00:00,1,39,0.975
2020-02-09 07:00:00,3,39,0.975
2020-02-10 07:00:00,4,38,0.95
2020-02-10 07:00:00,2,36,0.9
2020-02-10 07:00:00,5,39,0.975
2020-02-10 07:00:00,1,40,1.0
2020-02-10 07:00:00,3,31,0.775
2020-02-11 07:00:00,4,32,0.8
2020-02-11 07:00:00,2,38,0.95
2020-02-11 07:00:00,5,39,0.975
2020-02-11 07:00:00,1,40,1.0
2020-02-11 07:00:00,3,33,0.825
2020-02-12 07:00:00,4,30,0.75
2020-02-12 07:00:00,2,33,0.825
2020-02-12 07:00:00,5,38,0.95
2020-02-12 07:00:00,1,32,0.8
2020-02-12 07:00:00,3,34,0.85
2020-02-13 07:00:00,4,29,0.725
2020-02-13 07:00:00,2,39,0.975
2020-02-13 07:00:00,5,41,1.025
2020-02-13 07:00:00,1,40,1.0
2020-02-13 07:00:00,3,40,1.0
2020-02-14 07:00:00,4,33,0.825
2020-02-14 07:00:00,2,32,0.8
2020-02-14 07:00:00,5,41,1.025
2020-02-14 07:00:00,1,39,0.975
2020-02-14 07:00:00,3,39,0.975
2020-02-15 07:00:00,4,28,0.7
2020-02-15 07:00:00,2,32,0.8
2020-02-15 07:00:00,5,36,0.9
2020-02-15 07:00:00,1,38,0.95
2020-02-15 07:00:00,3,36,0.9
2020-02-16 07:00:00,4,34,0.85
2020-02-16 07:00:00,2,37,0.925
2020-02-16 07:00:00,5,42,1.05
2020-02-16 07:00:00,1,39,0.975
2020-02-16 07:00:00,3,39,0.975
2020-02-17 07:00:00,4,42,1.05
2020-02-17 07:00:00,2,46,1.15
2020-02-17 07:00:00,5,42,1.05
2020-02-17 07:00:00,1,42,1.05
2020-02-17 07:00:00,3,43,1.075
2020-02-18 07:00:00,4,44,1.1
2020-02-18 07:00:00,2,46,1.15
2020-02-18 07:00:00,5,44,1.1
2020-02-18 07:00:00,1,41,1.025
2020-02-18 07:00:00,3,40,1.0
2020-02-19 07:00:00,4,38,0.95
2020-02-19 07:00:00,2,38,0.95
2020-02-19 07:00:00,5,41,1.025
2020-02-19 07:00:00,1,36,0.9
2020-02-19 07:00:00,3,39,0.975
2020-02-20 07:00:00,4,38,0.95
2020-02-20 07:00:00,2,37,0.925
2020-02-20 07:00:00,5,38,0.95
2020-02-20 07:00:00,1,37,0.925
2020-02-20 07:00:00,3,35,0.875
2020-02-21 07:00:00,4,35,0.875
2020-02-21 07:00:00,2,39,0.975
2020-02-21 07:00:00,5,38,0.95
2020-02-21 07:00:00,1,36,0.9
2020-02-21 07:00:00,3,37,0.925
2020-02-22 07:00:00,4,31,0.775
2020-02-22 07:00:00,2,36,0.9
2020-02-22 07:00:00,5,36,0.9
2020-02-22 07:00:00,1,35,0.875
2020-02-22 07:00:00,3,39,0.975
2020-02-23 07:00:00,4,37,0.925
2020-02-23 07:00:00,2,45,1.125
2020-02-23 07:00:00,5,43,1.075
2020-02-23 07:00:00,1,41,1.025
2020-02-23 07:00:00,3,40,1.0
2020-02-24 07:00:00,4,34,0.85
2020-02-24 07:00:00,2,42,1.05
2020-02-24 07:00:00,5,36,0.9
2020-02-24 07:00:00,1,38,0.95
2020-02-24 07:00:00,3,42,1.05
2020-02-25 07:00:00,4,30,0.75
2020-02-25 07:00:00,2,42,1.05
2020-02-25 07:00:00,5,36,0.9
2020-02-25 07:00:00,1,36,0.9
2020-02-25 07:00:00,3,40,1.0
2020-02-26 07:00:00,4,35,0.875
2020-02-26 07:00:00,2,45,1.125
2020-02-26 07:00:00,5,40,1.0
2020-02-26 07:00:00,1,34,0.85
2020-02-26 07:00:00,3,38,0.95
2020-02-27 07:00:00,4,30,0.75
2020-02-27 07:00:00,2,38,0.95
2020-02-27 07:00:00,5,41,1.025
2020-02-27 07:00:00,1,35,0.875
2020-02-27 07:00:00,3,39,0.975
2020-02-28 07:00:00,4,28,0.7
2020-02-28 07:00:00,2,32,0.8
2020-02-28 07:00:00,5,38,0.95
2020-02-28 07:00:00,1,33,0.825
2020-02-28 07:00:00,3,38,0.95
2020-02-29 07:00:00,4,30,0.75
2020-02-29 07:00:00,2,37,0.925
2020-02-29 07:00:00,5,40,1.0
2020-02-29 07:00:00,1,37,0.925
2020-02-29 07:00:00,3,40,1.0
2020-03-01 07:00:00,4,37,0.925
2020-03-01 07:00:00,2,44,1.1
2020-03-01 07:00:00,5,46,1.15
2020-03-01 07:00:00,1,41,1.025
2020-03-01 07:00:00,3,39,0.975
2020-03-02 07:00:00,4,24,0.6
2020-03-02 07:00:00,2,28,0.7
2020-03-02 07:00:00,5,31,0.775
2020-03-02 07:00:00,1,34,0.85
2020-03-02 07:00:00,3,32,0.8
2020-03-03 07:00:00,4,30,0.75
2020-03-03 07:00:00,2,32,0.8
2020-03-03 07:00:00,5,34,0.85
2020-03-03 07:00:00,1,32,0.8
2020-03-03 07:00:00,3,36,0.9
2020-03-04 07:00:00,4,39,0.975
2020-03-04 07:00:00,2,30,0.75
2020-03-04 07:00:00,5,41,1.025
2020-03-04 07:00:00,1,36,0.9
2020-03-04 07:00:00,3,36,0.9
2020-03-05 07:00:00,4,31,0.775
2020-03-05 07:00:00,2,29,0.725
2020-03-05 07:00:00,5,35,0.875
2020-03-05 07:00:00,1,40,1.0
2020-03-05 07:00:00,3,33,0.825
2020-03-06 07:00:00,4,28,0.7
2020-03-06 07:00:00,2,29,0.725
2020-03-06 07:00:00,5,30,0.75
2020-03-06 07:00:00,1,35,0.875
2020-03-06 07:00:00,3,32,0.8
2020-03-07 07:00:00,4,21,0.525
2020-03-07 07:00:00,2,20,0.5
2020-03-07 07:00:00,5,25,0.625
2020-03-07 07:00:00,1,23,0.575
2020-03-07 07:00:00,3,33,0.825
2020-03-08 07:00:00,4,30,0.75
2020-03-08 07:00:00,2,25,0.625
2020-03-08 07:00:00,5,34,0.85
2020-03-08 07:00:00,1,30,0.75
2020-03-08 07:00:00,3,41,1.025
2020-03-09 07:00:00,4,32,0.8
2020-03-09 07:00:00,2,31,0.775
2020-03-09 07:00:00,5,32,0.8
2020-03-09 07:00:00,1,36,0.9
2020-03-09 07:00:00,3,40,1.0
2020-03-10 07:00:00,4,30,0.75
2020-03-10 07:00:00,2,34,0.85
2020-03-10 07:00:00,5,34,0.85
2020-03-10 07:00:00,1,32,0.8
2020-03-10 07:00:00,3,40,1.0
2020-03-11 07:00:00,4,28,0.7
2020-03-11 07:00:00,2,22,0.55
2020-03-11 07:00:00,5,29,0.725
2020-03-11 07:00:00,1,25,0.625
2020-03-11 07:00:00,3,36,0.9
2020-03-12 07:00:00,4,25,0.625
2020-03-12 07:00:00,2,27,0.675
2020-03-12 07:00:00,5,29,0.725
2020-03-12 07:00:00,1,28,0.7
2020-03-12 07:00:00,3,38,0.95
2020-03-13 07:00:00,4,24,0.6
2020-03-13 07:00:00,2,20,0.5
2020-03-13 07:00:00,5,25,0.625
2020-03-13 07:00:00,1,28,0.7
2020-03-13 07:00:00,3,24,0.6
2020-03-14 07:00:00,4,25,0.625
2020-03-14 07:00:00,2,25,0.625
2020-03-14 07:00:00,5,28,0.7
2020-03-14 07:00:00,1,29,0.725
2020-03-14 07:00:00,3,24,0.6
2020-03-15 07:00:00,4,22,0.55
2020-03-15 07:00:00,2,29,0.725
2020-03-15 07:00:00,5,33,0.825
2020-03-15 07:00:00,1,28,0.7
2020-03-15 07:00:00,3,29,0.725
2020-03-16 07:00:00,4,20,0.5
2020-03-16 07:00:00,2,24,0.6
2020-03-16 07:00:00,5,32,0.8
2020-03-16 07:00:00,1,25,0.625
2020-03-16 07:00:00,3,23,0.575
2020-03-17 07:00:00,4,25,0.625
2020-03-17 07:00:00,2,23,0.575
2020-03-17 07:00:00,5,26,0.65
2020-03-17 07:00:00,1,21,0.525
2020-03-17 07:00:00,3,27,0.675
2020-03-18 07:00:00,4,22,0.55
2020-03-18 07:00:00,2,10,0.25
2020-03-18 07:00:00,5,27,0.675
2020-03-18 07:00:00,1,22,0.55
2020-03-18 07:00:00,3,24,0.6
2020-03-19 07:00:00,4,28,0.7
2020-03-19 07:00:00,5,26,0.65
2020-03-19 07:00:00,1,28,0.7
2020-03-19 07:00:00,3,28,0.7
2020-03-20 07:00:00,4,27,0.675
2020-03-20 07:00:00,5,21,0.525
2020-03-20 07:00:00,1,26,0.65
2020-03-20 07:00:00,3,28,0.7
2020-03-21 07:00:00,4,25,0.625
2020-03-21 07:00:00,5,25,0.625
2020-03-21 07:00:00,1,23,0.575
2020-03-21 07:00:00,3,30,0.75
2020-03-22 07:00:00,4,29,0.725
2020-03-22 07:00:00,5,28,0.7
2020-03-22 07:00:00,1,22,0.55
2020-03-22 07:00:00,3,34,0.85
2020-03-23 07:00:00,4,26,0.65
2020-03-23 07:00:00,5,24,0.6
2020-03-23 07:00:00,1,20,0.5
2020-03-23 07:00:00,3,26,0.65
2020-03-24 07:00:00,4,25,0.625
2020-03-24 07:00:00,5,22,0.55
2020-03-24 07:00:00,1,25,0.625
2020-03-24 07:00:00,3,24,0.6
2020-03-25 07:00:00,4,28,0.7
2020-03-25 07:00:00,5,25,0.625
2020-03-25 07:00:00,1,19,0.475
2020-03-25 07:00:00,3,26,0.65
2020-03-26 07:00:00,4,25,0.625
2020-03-26 07:00:00,5,24,0.6
2020-03-26 07:00:00,1,19,0.475
2020-03-26 07:00:00,3,26,0.65
2020-03-27 07:00:00,4,27,0.675
2020-03-27 07:00:00,5,22,0.55
2020-03-27 07:00:00,1,16,0.4
2020-03-27 07:00:00,3,22,0.55
2020-03-28 07:00:00,4,29,0.725
2020-03-28 07:00:00,5,27,0.675
2020-03-28 07:00:00,1,16,0.4
2020-03-28 07:00:00,3,25,0.625
2020-03-29 07:00:00,4,29,0.725
2020-03-29 07:00:00,5,30,0.75
2020-03-29 07:00:00,1,21,0.525
2020-03-29 07:00:00,3,26,0.65
2020-03-30 07:00:00,4,29,0.725
2020-03-30 07:00:00,5,23,0.575
2020-03-30 07:00:00,1,24,0.6
2020-03-30 07:00:00,3,25,0.625
2020-03-31 07:00:00,4,20,0.5
2020-03-31 07:00:00,5,14,0.35
2020-03-31 07:00:00,1,31,0.775
2020-03-31 07:00:00,3,25,0.625
2020-04-01 07:00:00,4,27,0.675
2020-04-01 07:00:00,5,12,0.3
2020-04-01 07:00:00,1,27,0.675
2020-04-01 07:00:00,3,32,0.8
2020-04-02 07:00:00,4,26,0.65
2020-04-02 07:00:00,5,11,0.275
2020-04-02 07:00:00,1,28,0.7
2020-04-02 07:00:00,3,27,0.675
2020-04-03 07:00:00,4,32,0.8
2020-04-03 07:00:00,5,1,0.025
2020-04-03 07:00:00,1,34,0.85
2020-04-03 07:00:00,3,36,0.9
2020-04-04 07:00:00,4,32,0.8
2020-04-04 07:00:00,1,30,0.75
2020-04-04 07:00:00,3,32,0.8
2020-04-05 07:00:00,4,34,0.85
2020-04-05 07:00:00,1,33,0.825
2020-04-05 07:00:00,3,30,0.75
2020-04-06 07:00:00,4,27,0.675
2020-04-06 07:00:00,1,29,0.725
2020-04-06 07:00:00,3,31,0.775
2020-04-07 07:00:00,4,19,0.475
2020-04-07 07:00:00,1,20,0.5
2020-04-07 07:00:00,3,23,0.575
2020-04-08 07:00:00,4,21,0.525
2020-04-08 07:00:00,1,23,0.575
2020-04-08 07:00:00,3,27,0.675
2020-04-09 07:00:00,4,21,0.525
2020-04-09 07:00:00,1,24,0.6
2020-04-09 07:00:00,3,28,0.7
2020-04-10 07:00:00,4,20,0.5
2020-04-10 07:00:00,1,26,0.65
2020-04-10 07:00:00,3,30,0.75
2020-04-11 07:00:00,4,21,0.525
2020-04-11 07:00:00,1,25,0.625
2020-04-11 07:00:00,3,25,0.625
2020-04-12 07:00:00,4,21,0.525
2020-04-12 07:00:00,1,25,0.625
2020-04-12 07:00:00,3,24,0.6
2020-04-13 07:00:00,4,34,0.85
2020-04-13 07:00:00,1,24,0.6
2020-04-13 07:00:00,3,36,0.9
2020-04-14 07:00:00,4,25,0.625
2020-04-14 07:00:00,1,23,0.575
2020-04-14 07:00:00,3,24,0.6
2020-04-15 07:00:00,4,22,0.55
2020-04-15 07:00:00,1,23,0.575
2020-04-15 07:00:00,3,25,0.625
2020-04-16 07:00:00,4,22,0.55
2020-04-16 07:00:00,1,22,0.55
2020-04-16 07:00:00,3,24,0.6
2020-04-17 07:00:00,4,22,0.55
2020-04-17 07:00:00,1,24,0.6
2020-04-17 07:00:00,3,22,0.55
2020-04-18 07:00:00,4,21,0.525
2020-04-18 07:00:00,1,27,0.675
2020-04-18 07:00:00,3,30,0.75
2020-04-19 07:00:00,4,27,0.675
2020-04-19 07:00:00,1,26,0.65
2020-04-19 07:00:00,3,36,0.9
2020-04-20 07:00:00,4,37,0.925
2020-04-20 07:00:00,1,30,0.75
2020-04-20 07:00:00,3,41,1.025
2020-04-21 07:00:00,4,29,0.725
2020-04-21 07:00:00,1,32,0.8
2020-04-21 07:00:00,3,35,0.875
2020-04-22 07:00:00,4,25,0.625
2020-04-22 07:00:00,5,9,0.225
2020-04-22 07:00:00,1,29,0.725
2020-04-22 07:00:00,3,30,0.75
2020-04-23 07:00:00,4,29,0.725
2020-04-23 07:00:00,5,17,0.425
2020-04-23 07:00:00,1,30,0.75
2020-04-23 07:00:00,3,27,0.675
2020-04-24 07:00:00,4,21,0.525
2020-04-24 07:00:00,5,24,0.6
2020-04-24 07:00:00,1,25,0.625
2020-04-24 07:00:00,3,23,0.575
2020-04-25 07:00:00,4,23,0.575
2020-04-25 07:00:00,5,25,0.625
2020-04-25 07:00:00,1,30,0.75
2020-04-25 07:00:00,3,24,0.6
2020-04-26 07:00:00,4,26,0.65
2020-04-26 07:00:00,5,35,0.875
2020-04-26 07:00:00,1,30,0.75
2020-04-26 07:00:00,3,32,0.8
2020-04-27 07:00:00,4,23,0.575
2020-04-27 07:00:00,5,37,0.925
2020-04-27 07:00:00,1,30,0.75
2020-04-27 07:00:00,3,33,0.825
2020-04-28 07:00:00,4,24,0.6
2020-04-28 07:00:00,5,40,1.0
2020-04-28 07:00:00,1,26,0.65
2020-04-28 07:00:00,3,33,0.825
2020-04-29 07:00:00,4,16,0.4
2020-04-29 07:00:00,5,34,0.85
2020-04-29 07:00:00,1,26,0.65
2020-04-29 07:00:00,3,27,0.675
2020-04-30 07:00:00,4,19,0.475
2020-04-30 07:00:00,5,33,0.825
2020-04-30 07:00:00,1,24,0.6
2020-04-30 07:00:00,3,29,0.725
2020-05-01 07:00:00,4,23,0.575
2020-05-01 07:00:00,5,39,0.975
2020-05-01 07:00:00,1,27,0.675
2020-05-01 07:00:00,3,29,0.725
2020-05-02 07:00:00,4,23,0.575
2020-05-02 07:00:00,5,34,0.85
2020-05-02 07:00:00,1,31,0.775
2020-05-02 07:00:00,3,23,0.575
2020-05-03 07:00:00,4,31,0.775
2020-05-03 07:00:00,5,39,0.975
2020-05-03 07:00:00,1,26,0.65
2020-05-03 07:00:00,3,34,0.85
2020-05-04 07:00:00,4,29,0.725
2020-05-04 07:00:00,5,36,0.9
2020-05-04 07:00:00,1,34,0.85
2020-05-04 07:00:00,3,34,0.85
2020-05-05 07:00:00,4,31,0.775
2020-05-05 07:00:00,5,43,1.075
2020-05-05 07:00:00,1,27,0.675
2020-05-05 07:00:00,3,38,0.95
2020-05-06 07:00:00,4,25,0.625
2020-05-06 07:00:00,5,33,0.825
2020-05-06 07:00:00,1,27,0.675
2020-05-06 07:00:00,3,34,0.85
2020-05-07 07:00:00,4,25,0.625
2020-05-07 07:00:00,5,35,0.875
2020-05-07 07:00:00,1,23,0.575
2020-05-07 07:00:00,3,36,0.9
2020-05-08 07:00:00,4,20,0.5
2020-05-08 07:00:00,5,28,0.7
2020-05-08 07:00:00,1,24,0.6
2020-05-08 07:00:00,3,36,0.9
2020-05-09 07:00:00,4,19,0.475
2020-05-09 07:00:00,5,31,0.775
2020-05-09 07:00:00,1,22,0.55
2020-05-09 07:00:00,3,37,0.925
2020-05-10 07:00:00,4,26,0.65
2020-05-10 07:00:00,5,41,1.025
2020-05-10 07:00:00,1,33,0.825
2020-05-10 07:00:00,3,40,1.0
2020-05-11 07:00:00,4,26,0.65
2020-05-11 07:00:00,5,40,1.0
2020-05-11 07:00:00,1,28,0.7
2020-05-11 07:00:00,3,39,0.975
2020-05-12 07:00:00,4,26,0.65
2020-05-12 07:00:00,5,41,1.025
2020-05-12 07:00:00,1,27,0.675
2020-05-12 07:00:00,3,36,0.9
2020-05-13 07:00:00,4,29,0.725
2020-05-13 07:00:00,5,36,0.9
2020-05-13 07:00:00,1,27,0.675
2020-05-13 07:00:00,3,34,0.85
2020-05-14 07:00:00,4,21,0.525
2020-05-14 07:00:00,5,34,0.85
2020-05-14 07:00:00,1,25,0.625
2020-05-14 07:00:00,3,29,0.725
2020-05-15 07:00:00,4,24,0.6
2020-05-15 07:00:00,5,33,0.825
2020-05-15 07:00:00,1,24,0.6
2020-05-15 07:00:00,3,27,0.675
2020-05-16 07:00:00,4,19,0.475
2020-05-16 07:00:00,5,30,0.75
2020-05-16 07:00:00,1,23,0.575
2020-05-16 07:00:00,3,29,0.725
2020-05-17 07:00:00,4,26,0.65
2020-05-17 07:00:00,5,33,0.825
2020-05-17 07:00:00,1,35,0.875
2020-05-17 07:00:00,3,34,0.85
2020-05-18 07:00:00,4,32,0.8
2020-05-18 07:00:00,5,43,1.075
2020-05-18 07:00:00,1,29,0.725
2020-05-18 07:00:00,3,41,1.025
2020-05-19 07:00:00,4,35,0.875
2020-05-19 07:00:00,5,44,1.1
2020-05-19 07:00:00,1,29,0.725
2020-05-19 07:00:00,3,36,0.9
2020-05-20 07:00:00,4,35,0.875
2020-05-20 07:00:00,5,40,1.0
2020-05-20 07:00:00,1,32,0.8
2020-05-20 07:00:00,3,39,0.975
2020-05-21 07:00:00,4,31,0.775
2020-05-21 07:00:00,5,40,1.0
2020-05-21 07:00:00,1,32,0.8
2020-05-21 07:00:00,3,40,1.0
2020-05-22 07:00:00,4,25,0.625
2020-05-22 07:00:00,2,7,0.175
2020-05-22 07:00:00,5,32,0.8
2020-05-22 07:00:00,1,25,0.625
2020-05-22 07:00:00,3,32,0.8
2020-05-23 07:00:00,4,21,0.525
2020-05-23 07:00:00,2,11,0.275
2020-05-23 07:00:00,5,34,0.85
2020-05-23 07:00:00,1,30,0.75
2020-05-23 07:00:00,3,24,0.6
2020-05-24 07:00:00,4,26,0.65
2020-05-24 07:00:00,2,16,0.4
2020-05-24 07:00:00,5,38,0.95
2020-05-24 07:00:00,1,25,0.625
2020-05-24 07:00:00,3,27,0.675
2020-05-25 07:00:00,4,25,0.625
2020-05-25 07:00:00,2,18,0.45
2020-05-25 07:00:00,5,33,0.825
2020-05-25 07:00:00,1,25,0.625
2020-05-25 07:00:00,3,22,0.55
2020-05-26 07:00:00,4,24,0.6
2020-05-26 07:00:00,2,14,0.35
2020-05-26 07:00:00,5,30,0.75
2020-05-26 07:00:00,1,27,0.675
2020-05-26 07:00:00,3,27,0.675
2020-05-27 07:00:00,4,27,0.675
2020-05-27 07:00:00,2,16,0.4
2020-05-27 07:00:00,5,36,0.9
2020-05-27 07:00:00,1,30,0.75
2020-05-27 07:00:00,3,27,0.675
2020-05-28 07:00:00,4,27,0.675
2020-05-28 07:00:00,2,17,0.425
2020-05-28 07:00:00,5,33,0.825
2020-05-28 07:00:00,1,23,0.575
2020-05-28 07:00:00,3,29,0.725
2020-05-29 07:00:00,4,20,0.5
