Date,Doctor Code,Amount Of Patients
2022-05-14,1013,2
2022-05-15,1013,5
2022-05-19,1013,1
2022-05-21,1013,1
2022-05-22,1013,1
2022-05-25,1013,1
2022-05-29,1013,1
2022-05-30,1013,1
2022-06-07,1013,1
2022-06-18,1013,2
2022-06-19,1013,1
2022-06-20,1013,1
2022-06-21,1013,2
2022-11-30,1013,1
2022-12-03,1013,3
2022-12-06,1013,2
2022-12-07,1013,1
2022-12-16,1013,2
2022-12-25,1013,1
2022-12-26,1013,2
2023-01-04,1013,1
2023-01-12,1013,1
2023-01-25,1013,1
2023-01-27,1013,1
2022-06-01,1014,1
2022-06-05,1014,1
2022-08-03,1014,1
2022-08-15,1014,1
2022-08-19,1014,2
2022-08-22,1014,2
2022-08-24,1014,1
2022-08-29,1014,1
2022-08-31,1014,2
2022-09-08,1014,1
2022-09-15,1014,1
2022-09-19,1014,1
2022-09-26,1014,1
2022-11-12,1014,1
2022-07-25,1017,1
2022-08-03,1017,1
2022-08-07,1017,4
2022-08-08,1017,1
2022-08-09,1017,1
2022-08-10,1017,1
2022-08-15,1017,2
2022-08-22,1017,2
2022-08-23,1017,2
2022-08-24,1017,1
2022-08-25,1017,1
2022-08-28,1017,1
2022-08-29,1017,1
2022-02-27,1018,1
2022-05-03,1018,1
2022-05-08,1018,1
2022-05-10,1018,3
2022-05-14,1018,1
2022-05-15,1018,1
2022-05-22,1018,1
2022-05-29,1018,1
2022-06-07,1018,2
2022-06-12,1018,3
2022-06-19,1018,2
2022-06-21,1018,5
2022-06-22,1018,1
2022-06-26,1018,1
2022-06-28,1018,2
2022-08-11,1018,2
2022-08-12,1018,2
2022-11-05,1018,1
2022-11-19,1018,1
2022-02-15,1021,1
2022-02-18,1021,2
2022-03-03,1021,1
2022-03-04,1021,1
2022-03-31,1021,1
2022-04-12,1021,2
2022-04-15,1021,1
2022-04-25,1021,1
2022-05-01,1021,2
2022-05-02,1021,2
2022-05-05,1021,1
2022-05-09,1021,2
2022-05-11,1021,2
2022-05-12,1021,1
2022-05-22,1021,1
2022-05-25,1021,1
2022-05-29,1021,1
2022-05-30,1021,2
2022-05-31,1021,1
2022-06-06,1021,3
2022-06-07,1021,1
2022-06-08,1021,2
2022-06-10,1021,2
2022-06-15,1021,1
2022-06-16,1021,1
2022-06-19,1021,3
2022-06-20,1021,3
2022-06-27,1021,2
2023-01-04,1021,1
2023-01-15,1021,1
2023-01-17,1021,1
2023-01-24,1021,1
2023-01-29,1021,1
2023-09-03,1021,1
2023-09-14,1021,1
2023-12-12,1021,1
2022-02-08,1022,1
2022-02-16,1023,1
2022-02-17,1023,1
2022-02-11,1024,1
2022-04-05,1024,1
2022-04-08,1024,1
2022-04-20,1024,1
2022-05-09,1024,1
2022-05-11,1024,1
2022-05-15,1024,2
2022-05-25,1024,1
2022-05-26,1024,1
2022-05-28,1024,1
2022-07-11,1024,1
2022-07-15,1024,1
2023-03-30,1024,1
2023-04-04,1024,1
2023-04-07,1024,1
2023-04-08,1024,1
2023-04-09,1024,1
2023-04-11,1024,1
2023-04-13,1024,2
2023-04-15,1024,1
2023-04-17,1024,2
2023-04-19,1024,1
2023-04-22,1024,2
2023-04-23,1024,1
2023-04-26,1024,3
2023-04-27,1024,1
2023-04-30,1024,2
2023-05-01,1024,1
2023-05-02,1024,1
2023-05-05,1024,2
2023-05-07,1024,1
2023-05-08,1024,2
2023-05-12,1024,1
2023-05-14,1024,2
2023-05-17,1024,1
2023-05-20,1024,2
2023-05-21,1024,3
2023-05-27,1024,1
2023-05-30,1024,1
2023-06-01,1024,1
2023-06-02,1024,2
2023-06-03,1024,2
2023-06-04,1024,2
2023-06-05,1024,3
2023-06-08,1024,2
2023-06-12,1024,1
2023-06-15,1024,1
2023-06-17,1024,1
2023-06-19,1024,2
2023-06-20,1024,3
2023-06-21,1024,3
2023-06-24,1024,2
2023-06-28,1024,1
2023-06-29,1024,1
2023-06-30,1024,1
2023-07-07,1024,1
2023-07-09,1024,1
2023-07-12,1024,1
2023-07-16,1024,3
2023-07-18,1024,1
2023-07-19,1024,1
2023-07-20,1024,2
2023-07-21,1024,3
2023-07-23,1024,2
2023-07-25,1024,2
2023-07-26,1024,2
2023-07-29,1024,2
2023-07-30,1024,1
2023-08-01,1024,2
2023-08-03,1024,2
2023-08-04,1024,1
2023-08-05,1024,1
2023-08-06,1024,1
2023-08-12,1024,2
2023-08-13,1024,2
2023-08-16,1024,1
2023-08-25,1024,1
2023-08-28,1024,1
2023-08-29,1024,1
2023-08-30,1024,1
2023-09-02,1024,1
2023-09-06,1024,1
2023-09-07,1024,2
2023-09-11,1024,1
2023-09-12,1024,3
2023-09-13,1024,1
2023-09-18,1024,1
2023-09-19,1024,2
2023-09-21,1024,1
2023-09-22,1024,1
2023-09-26,1024,1
2023-09-27,1024,1
2023-09-28,1024,2
2023-09-29,1024,1
2023-09-30,1024,2
2023-10-03,1024,1
2023-10-04,1024,2
2023-10-05,1024,2
2023-10-06,1024,1
2023-10-07,1024,1
2023-10-11,1024,3
2023-10-18,1024,1
2023-10-19,1024,1
2023-10-20,1024,1
2023-10-23,1024,1
2023-10-29,1024,1
2023-10-30,1024,1
2023-11-01,1024,1
2023-11-03,1024,1
2023-11-06,1024,1
2023-11-07,1024,1
2023-11-08,1024,1
2023-11-09,1024,2
2023-11-10,1024,2
2023-11-11,1024,2
2023-11-13,1024,1
2023-11-14,1024,3
2023-11-15,1024,1
2023-11-20,1024,1
2023-11-26,1024,1
2023-11-28,1024,1
2023-12-01,1024,1
2023-12-05,1024,1
2023-12-06,1024,1
2023-12-07,1024,1
2023-12-08,1024,1
2023-12-09,1024,3
2023-12-10,1024,2
2023-12-11,1024,1
2023-12-12,1024,1
2023-12-14,1024,1
2023-12-15,1024,1
2023-12-16,1024,3
2023-12-17,1024,1
2023-12-18,1024,2
2023-12-19,1024,1
2023-12-24,1024,1
2023-12-25,1024,2
2022-02-21,1025,1
2022-02-23,1025,1
2022-02-27,1025,1
2022-03-05,1025,1
2022-03-08,1025,1
2022-03-09,1025,1
2022-03-11,1025,1
2022-03-12,1025,1
2022-03-13,1025,2
2022-03-20,1025,1
2022-03-22,1025,1
2022-03-25,1025,3
2022-03-27,1025,2
2022-05-07,1025,1
2022-05-16,1025,1
2022-05-27,1025,1
2022-06-07,1025,1
2022-06-16,1025,1
2022-06-19,1025,1
2022-06-21,1025,2
2022-06-26,1025,3
2022-06-28,1025,1
2023-02-02,1025,1
2023-02-04,1025,1
2023-02-06,1025,2
2023-02-07,1025,1
2023-02-13,1025,1
2023-02-19,1025,1
2023-02-25,1025,1
2023-03-02,1025,1
2023-06-20,1025,1
2023-07-05,1025,1
2022-01-20,1026,1
2022-02-03,1026,1
2022-02-06,1026,2
2022-02-15,1026,1
2022-02-25,1026,1
2022-03-08,1027,1
2022-04-04,1027,1
2022-04-05,1027,1
2022-04-12,1027,1
2022-04-13,1027,1
2022-04-15,1027,1
2022-04-17,1027,1
2022-04-24,1027,1
2022-04-25,1027,1
2022-04-28,1027,1
2022-05-01,1027,1
2022-05-08,1027,1
2022-05-12,1027,1
2022-05-19,1027,1
2022-05-28,1027,1
2022-05-29,1027,1
2022-06-04,1027,1
2022-06-22,1027,1
2022-08-31,1027,1
2022-09-22,1027,1
2022-09-24,1027,1
2023-01-04,1027,2
2023-01-17,1027,1
2022-03-06,1050,1
2022-03-08,1050,1
2022-03-09,1050,1
2022-03-11,1050,1
2022-03-22,1050,1
2022-03-27,1050,2
2022-04-03,1050,3
2022-04-04,1050,2
2022-04-05,1050,1
2022-04-10,1050,1
2022-04-25,1050,1
2022-04-26,1050,1
2022-05-03,1050,1
2022-08-28,1050,1
2022-09-22,1050,1
2022-09-25,1050,1
2022-09-26,1050,1
2022-03-04,1052,2
2022-03-06,1052,1
2022-03-07,1052,1
2022-03-09,1052,2
2022-03-11,1052,1
2022-03-14,1052,2
2022-03-15,1052,1
2022-03-16,1052,2
2022-03-17,1052,1
2022-03-18,1052,1
2022-03-20,1052,2
2022-03-21,1052,2
2022-03-22,1052,1
2022-03-23,1052,1
2022-03-26,1052,1
2022-03-27,1052,2
2022-03-28,1052,2
2022-03-29,1052,1
2022-03-30,1052,2
2022-03-31,1052,4
2022-04-01,1052,1
2022-04-02,1052,1
2022-04-04,1052,4
2022-04-07,1052,1
2022-04-09,1052,2
2022-04-10,1052,1
2022-04-11,1052,1
2022-04-13,1052,2
2022-04-16,1052,2
2022-04-17,1052,1
2022-04-18,1052,1
2022-04-19,1052,1
2022-04-20,1052,2
2022-04-21,1052,1
2022-04-26,1052,4
2022-04-28,1052,2
2022-04-29,1052,1
2022-05-01,1052,2
2022-05-02,1052,2
2022-05-03,1052,2
2022-05-04,1052,3
2022-05-05,1052,1
2022-05-07,1052,2
2022-05-08,1052,3
2022-05-09,1052,1
2022-05-10,1052,2
2022-05-13,1052,1
2022-05-15,1052,2
2022-05-16,1052,1
2022-05-19,1052,1
2022-05-22,1052,2
2022-05-29,1052,2
2022-05-30,1052,3
2022-05-31,1052,1
2022-06-01,1052,1
2022-06-02,1052,4
2022-06-03,1052,1
2022-06-06,1052,4
2022-06-08,1052,1
2022-06-09,1052,5
2022-06-10,1052,2
2022-06-13,1052,1
2022-06-14,1052,2
2022-06-15,1052,6
2022-06-16,1052,3
2022-06-17,1052,1
2022-06-18,1052,1
2022-06-20,1052,2
2022-06-21,1052,1
2022-06-24,1052,1
2022-06-25,1052,1
2022-06-26,1052,2
2022-06-27,1052,1
2022-06-28,1052,3
2022-06-30,1052,6
2022-07-03,1052,1
2022-07-04,1052,2
2022-07-05,1052,1
2022-07-06,1052,3
2022-07-07,1052,1
2022-07-09,1052,1
2022-07-10,1052,3
2022-07-11,1052,1
2022-07-12,1052,1
2022-07-13,1052,2
2022-07-14,1052,1
2022-07-15,1052,2
2022-07-16,1052,1
2022-07-17,1052,6
2022-07-18,1052,1
2022-07-19,1052,2
2022-07-20,1052,1
2022-07-21,1052,1
2022-07-22,1052,1
2022-07-26,1052,2
2022-07-27,1052,4
2022-07-28,1052,1
2022-07-29,1052,1
2022-07-30,1052,1
2022-08-01,1052,2
2022-08-03,1052,1
2022-08-04,1052,4
2022-08-05,1052,2
2022-08-06,1052,1
2022-08-07,1052,2
2022-08-08,1052,1
2022-08-09,1052,4
2022-08-11,1052,1
2022-08-12,1052,1
2022-08-14,1052,1
2022-08-15,1052,1
2022-08-17,1052,1
2022-08-18,1052,1
2022-08-19,1052,1
2022-08-21,1052,3
2022-08-22,1052,1
2022-08-23,1052,1
2022-08-24,1052,1
2022-08-25,1052,1
2022-08-26,1052,1
2022-08-28,1052,2
2022-08-29,1052,1
2022-08-30,1052,1
2022-08-31,1052,1
2022-09-01,1052,4
2022-09-02,1052,1
2022-09-03,1052,1
2022-09-06,1052,1
2022-09-07,1052,2
2022-09-08,1052,1
2022-09-09,1052,1
2022-09-10,1052,3
2022-09-11,1052,2
2022-09-12,1052,2
2022-09-13,1052,1
2022-09-14,1052,1
2022-09-17,1052,2
2022-09-18,1052,4
2022-09-19,1052,1
2022-09-22,1052,4
2022-09-23,1052,1
2022-09-24,1052,1
2022-09-26,1052,2
2022-09-27,1052,1
2022-09-28,1052,1
2022-09-29,1052,2
2022-09-30,1052,1
2022-10-01,1052,2
2022-10-02,1052,1
2022-10-03,1052,1
2022-10-04,1052,1
2022-10-05,1052,2
2022-10-06,1052,1
2022-10-08,1052,1
2022-10-09,1052,1
2022-10-12,1052,1
2022-10-14,1052,2
2022-10-16,1052,1
2022-10-18,1052,2
2022-10-19,1052,2
2022-10-21,1052,1
2022-10-23,1052,5
2022-10-24,1052,1
2022-10-25,1052,1
2022-10-26,1052,2
2022-10-27,1052,2
2022-10-28,1052,2
2022-10-30,1052,1
2022-11-02,1052,2
2022-11-04,1052,1
2022-11-05,1052,2
2022-11-08,1052,2
2022-11-10,1052,3
2022-11-11,1052,1
2022-11-13,1052,1
2022-11-14,1052,2
2022-11-18,1052,2
2022-11-19,1052,2
2022-11-21,1052,1
2022-11-23,1052,1
2022-11-24,1052,1
2022-11-25,1052,1
2022-11-27,1052,2
2022-11-28,1052,2
2022-11-29,1052,1
2022-12-04,1052,3
2022-12-05,1052,2
2022-12-07,1052,1
2022-12-11,1052,1
2022-12-12,1052,2
2022-12-13,1052,1
2022-12-14,1052,2
2022-12-15,1052,2
2022-12-17,1052,1
2022-12-18,1052,2
2022-12-19,1052,2
2022-12-20,1052,2
2022-12-23,1052,3
2022-12-24,1052,2
2022-12-26,1052,2
2022-12-27,1052,3
2022-12-28,1052,2
2022-12-29,1052,1
2022-12-31,1052,2
2023-01-01,1052,1
2023-01-03,1052,2
2023-01-04,1052,2
2023-01-06,1052,3
2023-01-07,1052,1
2023-01-08,1052,2
2023-01-10,1052,1
2023-01-11,1052,3
2023-01-12,1052,4
2023-01-13,1052,1
2023-01-15,1052,1
2023-01-16,1052,1
2023-01-17,1052,1
2023-01-18,1052,1
2023-01-19,1052,1
2023-01-27,1052,1
2023-01-28,1052,1
2023-01-29,1052,1
2023-01-30,1052,1
2023-01-31,1052,1
2023-02-01,1052,2
2023-02-02,1052,4
2023-02-03,1052,2
2023-02-05,1052,2
2023-02-07,1052,2
2023-02-08,1052,2
2023-02-09,1052,4
2023-02-10,1052,6
2023-02-11,1052,2
2023-02-12,1052,1
2023-02-13,1052,1
2023-02-15,1052,1
2023-02-18,1052,2
2023-02-20,1052,3
2023-02-21,1052,2
2023-02-22,1052,3
2023-02-25,1052,1
2023-02-26,1052,2
2023-02-28,1052,2
2023-03-01,1052,4
2023-03-03,1052,1
2023-03-05,1052,2
2023-03-06,1052,1
2023-03-08,1052,3
2023-03-09,1052,6
2023-03-10,1052,2
2023-03-11,1052,1
2023-03-12,1052,3
2023-03-13,1052,1
2023-03-14,1052,1
2023-03-15,1052,3
2023-03-16,1052,1
2023-03-17,1052,1
2023-03-18,1052,1
2023-03-19,1052,3
2023-03-20,1052,1
2023-03-21,1052,2
2023-03-22,1052,1
2023-03-23,1052,2
2023-03-24,1052,3
2023-03-26,1052,2
2023-03-27,1052,1
2023-03-28,1052,2
2023-03-31,1052,3
2023-04-01,1052,1
2023-04-02,1052,3
2023-04-03,1052,4
2023-04-04,1052,1
2023-04-05,1052,1
2023-04-06,1052,1
2023-04-07,1052,1
2023-04-08,1052,2
2023-04-09,1052,1
2023-04-10,1052,1
2023-04-12,1052,1
2023-04-13,1052,1
2023-04-15,1052,3
2023-04-16,1052,2
2023-04-17,1052,1
2023-04-19,1052,1
2023-04-20,1052,2
2023-04-22,1052,1
2023-04-23,1052,1
2023-04-24,1052,1
2023-04-25,1052,2
2023-04-26,1052,4
2023-04-28,1052,1
2023-04-29,1052,1
2023-05-01,1052,1
2023-05-02,1052,2
2023-05-03,1052,3
2023-05-05,1052,1
2023-05-06,1052,2
2023-05-07,1052,7
2023-05-08,1052,4
2023-05-09,1052,3
2023-05-11,1052,1
2023-05-12,1052,1
2023-05-13,1052,2
2023-05-14,1052,1
2023-05-15,1052,4
2023-05-16,1052,1
2023-05-17,1052,3
2023-05-18,1052,2
2023-05-19,1052,2
2023-05-20,1052,1
2023-05-21,1052,1
2023-05-22,1052,1
2023-05-23,1052,2
2023-05-24,1052,1
2023-05-25,1052,4
2023-05-26,1052,1
2023-05-28,1052,4
2023-05-29,1052,2
2023-05-30,1052,4
2023-05-31,1052,6
2023-06-01,1052,1
2023-06-02,1052,2
2023-06-03,1052,1
2023-06-04,1052,2
2023-06-05,1052,1
2023-06-07,1052,1
2023-06-08,1052,1
2023-06-10,1052,1
2023-06-12,1052,1
2023-06-13,1052,3
2023-06-14,1052,1
2023-06-15,1052,4
2023-06-17,1052,2
2023-06-18,1052,2
2023-06-19,1052,1
2023-06-21,1052,3
2023-06-22,1052,2
2023-06-23,1052,1
2023-06-24,1052,2
2023-06-25,1052,2
2023-06-27,1052,3
2023-06-29,1052,1
2023-07-02,1052,1
2023-07-03,1052,2
2023-07-04,1052,2
2023-07-05,1052,4
2023-07-06,1052,1
2023-07-07,1052,2
2023-07-08,1052,4
2023-07-09,1052,3
2023-07-10,1052,1
2023-07-12,1052,1
2023-07-13,1052,1
2023-07-14,1052,1
2023-07-15,1052,1
2023-07-16,1052,3
2023-07-17,1052,1
2023-07-19,1052,5
2023-07-20,1052,3
2023-07-22,1052,1
2023-07-24,1052,2
2023-07-25,1052,2
2023-07-26,1052,1
2023-07-27,1052,2
2023-07-29,1052,2
2023-07-30,1052,1
2023-07-31,1052,3
2023-08-01,1052,1
2023-08-02,1052,2
2023-08-05,1052,1
2023-08-07,1052,2
2023-08-08,1052,1
2023-08-09,1052,1
2023-08-11,1052,2
2023-08-12,1052,1
2023-08-13,1052,7
2023-08-14,1052,2
2023-08-15,1052,3
2023-08-16,1052,3
2023-08-19,1052,1
2023-08-21,1052,2
2023-08-22,1052,1
2023-08-24,1052,2
2023-08-26,1052,1
2023-08-27,1052,1
2023-08-29,1052,1
2023-09-01,1052,1
2023-09-02,1052,3
2023-09-03,1052,1
2023-09-15,1052,1
2023-09-16,1052,2
2023-09-17,1052,2
2023-09-18,1052,1
2023-09-20,1052,2
2023-09-21,1052,3
2023-09-22,1052,3
2023-09-23,1052,2
2023-09-24,1052,2
2023-09-26,1052,1
2023-09-27,1052,2
2023-09-28,1052,3
2023-10-02,1052,3
2023-10-03,1052,1
2023-10-04,1052,2
2023-10-05,1052,5
2023-10-06,1052,3
2023-10-07,1052,1
2023-10-08,1052,1
2023-10-10,1052,1
2023-10-12,1052,2
2023-10-13,1052,2
2023-10-15,1052,1
2023-10-17,1052,1
2023-10-19,1052,1
2023-10-23,1052,4
2023-10-25,1052,2
2023-10-26,1052,1
2023-10-27,1052,2
2023-10-29,1052,3
2023-10-30,1052,1
2023-10-31,1052,1
2023-11-01,1052,1
2023-11-04,1052,1
2023-11-05,1052,1
2023-11-07,1052,1
2023-11-08,1052,2
2023-11-09,1052,2
2023-11-10,1052,2
2023-11-11,1052,1
2023-11-12,1052,2
2023-11-13,1052,4
2023-11-14,1052,1
2023-11-15,1052,1
2023-11-16,1052,1
2023-11-19,1052,1
2023-11-21,1052,1
2023-11-22,1052,1
2023-11-24,1052,1
2023-11-25,1052,1
2023-11-26,1052,2
2023-11-28,1052,1
2023-11-29,1052,1
2023-11-30,1052,4
2023-12-01,1052,4
2023-12-02,1052,3
2023-12-03,1052,3
2023-12-04,1052,1
2023-12-06,1052,2
2023-12-08,1052,4
2023-12-09,1052,1
2023-12-11,1052,1
2023-12-12,1052,1
2023-12-13,1052,2
2023-12-14,1052,1
2023-12-15,1052,1
2023-12-17,1052,1
2023-12-18,1052,2
2023-12-22,1052,2
2023-12-23,1052,1
2023-12-25,1052,2
2023-12-27,1052,1
2023-12-29,1052,1
2023-12-30,1052,2
2023-12-31,1052,2
2022-03-06,1053,1
2022-03-15,1053,1
2022-03-16,1053,1
2022-03-18,1053,1
2022-04-06,1053,1
2022-05-08,1054,1
2022-05-09,1054,1
2022-05-11,1054,1
2022-05-15,1054,3
2022-05-22,1054,1
2022-05-26,1054,1
2022-06-05,1054,1
2022-06-09,1054,1
2022-06-11,1054,1
2022-06-19,1054,1
2022-06-21,1054,1
2022-06-27,1054,1
2022-06-29,1054,2
2022-07-04,1054,1
2022-10-15,1054,1
2022-11-02,1054,1
2022-11-10,1054,1
2022-03-16,1055,1
2022-03-23,1055,1
2022-03-30,1055,1
2022-04-02,1055,1
2022-04-08,1055,1
2022-04-13,1055,1
2022-04-15,1055,1
2022-04-18,1055,1
2022-04-25,1055,2
2022-04-27,1055,1
2022-05-01,1055,1
2022-05-03,1055,1
2022-07-28,1055,1
2022-08-04,1055,1
2022-08-15,1055,1
2022-08-16,1055,2
2022-08-17,1055,1
2022-08-18,1055,1
2022-08-20,1055,1
2022-08-21,1055,1
2022-09-15,1055,1
2022-09-16,1055,1
2022-09-20,1055,1
2022-09-22,1055,1
2022-09-23,1055,1
2022-10-02,1055,1
2022-10-19,1055,1
2022-11-18,1055,1
2022-11-19,1055,2
2023-01-01,1055,1
2023-01-13,1055,1
2023-01-17,1055,1
2023-01-22,1055,3
2023-01-29,1055,1
2023-02-01,1055,1
2023-02-06,1055,1
2023-02-07,1055,2
2023-02-08,1055,1
2023-02-12,1055,1
2023-02-28,1055,1
2023-03-01,1055,2
2023-03-26,1055,1
2023-03-28,1055,1
2023-04-16,1055,1
2023-04-18,1055,1
2023-04-19,1055,1
2023-04-24,1055,1
2023-04-27,1055,1
2023-05-07,1055,1
2023-05-08,1055,1
2023-05-09,1055,1
2023-05-10,1055,1
2023-05-23,1055,1
2023-05-24,1055,2
2023-05-28,1055,2
2023-05-29,1055,1
2023-05-31,1055,2
2023-06-01,1055,1
2023-06-05,1055,1
2023-06-08,1055,1
2023-06-12,1055,1
2023-06-18,1055,1
2023-06-22,1055,1
2023-06-27,1055,1
2023-06-30,1055,1
2023-07-09,1055,1
2023-07-10,1055,1
2023-07-11,1055,1
2023-07-12,1055,1
2023-07-16,1055,1
2023-07-17,1055,1
2023-07-19,1055,1
2023-07-23,1055,1
2023-07-30,1055,1
2023-08-04,1055,1
2023-08-07,1055,1
2023-08-14,1055,2
2023-08-15,1055,1
2023-08-17,1055,12
2023-08-23,1055,1
2023-08-24,1055,4
2023-08-29,1055,1
2023-09-04,1055,2
2023-09-06,1055,1
2023-09-07,1055,3
2023-09-10,1055,1
2023-09-11,1055,2
2023-09-13,1055,1
2023-09-22,1055,1
2023-09-26,1055,1
2023-09-27,1055,1
2023-10-01,1055,1
2023-10-03,1055,1
2023-10-04,1055,1
2023-10-05,1055,1
2023-10-09,1055,1
2023-10-10,1055,2
2023-10-15,1055,3
2023-10-16,1055,1
2023-10-17,1055,2
2023-10-18,1055,1
2023-10-19,1055,1
2023-10-20,1055,2
2023-10-31,1055,1
2023-11-01,1055,1
2023-11-03,1055,1
2023-11-04,1055,1
2023-11-05,1055,1
2023-11-06,1055,3
2023-11-07,1055,1
2023-11-12,1055,1
2023-11-13,1055,1
2023-11-16,1055,1
2023-11-21,1055,1
2023-11-22,1055,1
2023-11-26,1055,2
2023-11-28,1055,3
2023-11-29,1055,1
2023-12-05,1055,1
2023-12-08,1055,1
2023-12-10,1055,1
2023-12-13,1055,1
2023-12-19,1055,3
2023-12-24,1055,1
2023-12-25,1055,2
2023-12-26,1055,3
2023-12-28,1055,1
2022-04-28,1056,2
2022-05-01,1056,2
2022-05-03,1056,1
2022-05-08,1056,3
2022-05-10,1056,1
2022-05-12,1056,1
2022-05-14,1056,1
2022-05-15,1056,2
2022-05-18,1056,1
2022-05-20,1056,1
2022-05-22,1056,4
2022-05-26,1056,1
2022-05-29,1056,4
2022-05-30,1056,1
2022-05-31,1056,5
2022-06-05,1056,2
2022-06-06,1056,1
2022-06-12,1056,2
2022-06-17,1056,1
2022-06-19,1056,3
2022-06-20,1056,1
2022-06-21,1056,7
2022-06-22,1056,1
2022-06-25,1056,4
2022-06-26,1056,4
2022-07-03,1056,1
2022-07-05,1056,1
2022-07-07,1056,1
2022-07-09,1056,1
2022-07-10,1056,1
2022-07-16,1056,1
2022-07-19,1056,1
2022-07-26,1056,2
2022-07-27,1056,1
2022-07-28,1056,1
2022-08-07,1056,1
2022-08-08,1056,1
2022-08-09,1056,1
2022-08-13,1056,1
2022-08-14,1056,1
2022-08-16,1056,2
2022-08-18,1056,1
2022-08-25,1056,1
2022-08-28,1056,1
2022-03-07,1058,1
2022-03-13,1058,1
2022-03-26,1058,1
2022-03-29,1058,1
2022-03-30,1058,2
2022-03-31,1058,3
2022-04-01,1058,1
2022-04-14,1058,2
2022-03-04,1059,1
2022-03-06,1059,4
2022-03-09,1059,1
2022-03-11,1059,1
2022-03-13,1059,5
2022-03-15,1059,2
2022-03-16,1059,2
2022-03-19,1059,3
2022-03-20,1059,2
2022-03-25,1059,1
2022-03-27,1059,2
2022-03-29,1059,1
2022-03-30,1059,1
2022-04-03,1059,2
